,Column1,Value1,Value2,Value3,Value4,Value5
49,Avg Earning Assets / Avg Assets, 89.96, 89.69, 89.80, 89.35, 89.82
50,Avg Int-Bearing Funds / Avg Assets,74.48, 73.88, 74.82, 75.57, 75.19
51,Int Income (TE) / Avg Earning Assets, 5.64,5.00,5.17,6.01,7.19
52,Int Expense / Avg Earning Assets, 2.20,1.48,1.58,2.11,3.43
53,Interest-Bearing Bank Balances, 3.38,1.96,2.04,2.31,4.65
54,Fed Funds Sold & Reverse Repos, 3.24,1.50,1.37,1.91,4.11
55,Trading Assets, 2.48,3.33,2.60,2.35,3.96
56,Mortgage-Backed Securities, 4.31,4.17,4.20,5.25,5.92
57,Time Deposits < $100K,2.90,2.41,2.67,3.55,5.29
58,Other Domestic Deposits,1.40,0.79,0.87,1.29,2.30
59,All Interest-Bearing Funds, 2.64,1.82,1.90,2.49,4.15
60, , 12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001
61,Avg Personnel Exp Per Employee ($000),73,68,66,62,59
62,Avg Assets per Employee ($000),"4,727"," 4,581"," 4,348"," 3,771"," 3,523"
63,ANALYSIS RATIOS, , , , , 
64,Personnel Expense,1.65,1.65,1.68,1.75,1.78
65,Net Occupancy Expense,0.42,0.43,0.45,0.48,0.48
66,Personnel Expense, 31.93, 31.43, 30.63, 30.38, 30.79
67,Net Occupancy Expense,8.03,8.10,8.17,8.25,8.60
68,Serv Charges on Deposit Accts - Domestic, 7.26,7.62,7.98,8.19,7.85
69,Trading Revenue,1.01,1.04,1.41,1.16,2.15
70,Investment Banking Fees & Commissions,3.71,4.06,4.61,4.68,5.02
71,Venture Capital Revenue,0.18,0.18,0.02, -0.22, -0.41
72,Net Servicing Fees, 1.12,1.00,0.58,0.92,1.09
73,Net Securitization Income,0.25,0.29,0.49,0.47,0.54
74,Insurance Activities Revenue, 1.49,1.84,1.18,1.15,1.02
75,"Net Gain (Loss) - Sales Loans, OREO, Oth", 1.61,1.52,2.90,1.73,1.22
76,Appl Inc Taxes/Pretax NOI (TE),31.62, 31.18, 31.45, 31.58, 33.17
77,Appl Inc Tax+TE/Pretax NOI+TE, 34.67, 34.68, 34.73, 34.83, 37.17
78,PERCENT OF TOTAL ASSETS,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001
79,Real Estate Loans, 37.19, 36.78, 34.78, 34.29, 32.43
80,Commercial and Industrial Loans, 11.37, 10.79, 11.27, 12.34, 12.89
81,Loans to Individuals, 5.62,5.97,6.16,6.42,6.22
82,Loans to Depository Institutions, 0.11,0.16,0.11,0.14,0.18
83,Agricultural Loans, 0.20,0.20,0.21,0.22,0.21
84,Other Loans and Leases, 3.33,3.28,4.30,4.25,4.92
85, Net Loans and Leases, 60.09, 59.69, 58.53, 59.34, 58.93
86,Debt Securities Over 1 Year, 17.25, 18.70, 19.67, 18.00, 16.22
87,Mutual Funds and Equity Securities, 0.24,0.31,0.36,0.40,0.49
88, Subtotal, 79.55, 80.28, 79.72, 78.91, 76.68
89,Interest-Bearing Bank Balances, 0.69,0.79,0.70,0.63,1.07
90,Federal Funds Sold & Reverse Repos, 2.18,2.12,1.88,2.31,2.86
91,Debt Securities 1 Year or Less, 1.70,1.54,1.98,1.91,1.88
92,Trading Assets, 1.51,1.50,1.66,1.69,1.86
93, Total Earning Assets, 87.91, 88.41, 88.18, 87.55, 86.95
94,Non-Int Cash and Due From Dep Inst, 2.74,2.25,2.85,3.38,3.52
95,Acceptances,0.02,0.02,0.03,0.03,0.03
96,Other Real Estate Owned,0.04,0.05,0.06,0.06,0.05
97,U.S. Treasury Securities, 0.46,0.58,0.77,0.45,0.40
98,U.S. Agency Securities (excl MBS),3.19,3.56,4.15,3.25,2.56
99,Municipal Securities, 0.89,0.83,0.75,0.78,0.84
100,Mortgage-Backed Securities,11.62, 12.02, 12.92, 12.07, 11.44
101,Asset-Backed Securities,0.23,0.32,0.41,0.49,0.55
102,Other Debt Securities,0.74,0.83,0.85,0.74,0.69
103,RE Loans Secured by 1-4 Family,17.83, 18.10, 17.23, 17.21, 17.20
104,Revolving,4.51,4.65,4.16,3.58,2.80
105,"Closed-End, Sec by First Liens",11.73, 11.74, 11.43, 11.65, 12.20
106,"Closed-End, Sec by Junior Liens",1.38,1.16,1.16,1.50,1.75
107,Commercial Real Estate Loans,17.13, 15.68, 14.47, 14.61, 12.94
108,Construction and Land Dev,5.51,4.30,3.82,3.67,3.48
109,Multifamily,1.21,1.33,1.25,1.27,1.08
110,Nonfarm Nonresidential, 9.78,9.46,8.83,8.96,8.00
111,RE Loans Secured by Farmland, 0.21,0.21,0.19,0.22,0.16
112,"LOAN MIX, % OF GROSS LOANS & LEASES:", , , , , 
113,Real Estate Loans, 60.11, 60.43, 57.28, 55.08, 52.56
114,RE Loans Secured by 1-4 Family,28.95, 28.88, 28.42, 27.93, 28.02
115,Revolving,7.07,7.36,6.71,5.75,4.47
116,Closed-End,21.49, 20.82, 21.14, 21.66, 23.14
117,Commercial Real Estate Loans,26.98, 26.07, 23.42, 23.13, 20.47
118,Construction and Land Dev,8.61,7.02,6.14,5.78,5.51
119,Multifamily,2.00,2.28,2.02,1.99,1.73
120,Nonfarm Nonresidential,15.30, 15.87, 14.44, 14.23, 12.66
121,RE Loans Secured by Farmland, 0.31,0.31,0.29,0.32,0.24
122,Loans to Depository Institutions, 0.21,0.39,0.25,0.34,0.36
123,Commercial and Industrial Loans, 18.76, 17.76, 19.20, 21.41, 22.66
124,Loans to Individuals, 9.73, 10.26, 10.34, 10.73, 10.42
125,Credit Card Loans,1.36,1.48,1.12,1.17,1.00
126,Agricultural Loans, 0.32,0.32,0.33,0.35,0.32
127,Loans to Foreign Govts and Inst,0.01,0.01,0.02,0.03,0.04
128,Other Loans and Leases, 7.00,6.22,8.79,8.30,9.61
129,PERCENT OF TOTAL ASSETS,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001
130,Short-Term Investments, 5.78,5.42,5.38,5.50,6.52
131,Liquid Assets, 23.88, 24.17, 26.56, 25.43, 25.12
132,Investment Securities, 20.03, 21.17, 22.79, 20.88, 19.21
133,Net Loans and Leases,60.09, 59.69, 58.53, 59.34, 58.93
134,"Net Lns, Ls & Stdby Ltrs of Credit",63.42, 62.92, 61.71, 62.70, 62.24
135,Core Deposits, 49.27, 48.79, 50.31, 52.60, 50.01
136,Noncore Funding, 34.95, 33.37, 33.17, 30.89, 32.17
137,Time Deposits of $100K or More, 9.23,7.71,7.17,7.39,7.34
138,Foreign Deposits, 2.55,2.72,3.01,2.98,2.80
139,Fed Funds Purchased and Repos,8.72,8.39,8.63,7.58,8.08
140,Net Fed Funds Purchased (Sold), 5.92,5.47,6.14,4.92,5.17
141,Int-Bearing Liab Repr in 1 Year, 17.46, 14.06, 14.98, 15.89, 18.85
142,Long-Term Debt Repr in 1 Year,2.13,2.30,2.02,1.90,2.03
143,Net ST Noncore Funding Dependence, 23.48, 19.42, 19.84, 18.72, 20.90
144,Short-Term Inv/ST Noncore Funding, 23.86, 28.08, 25.44, 27.11, 25.78
145,Liq Asts-ST Noncore Fndg/Nonliq Asts, 1.72,5.74,7.34,8.49,4.46
146,Net Loans and Leases/Total Deposits, 97.41,103.27, 94.37, 92.92, 97.44
147,Net Loans and Leases/Core Deposits, 146.05,154.00,130.23,118.07,126.99
148,Held-To-Mat Sec Appr(Depr)/T1 Cap, -0.69,0.01,0.18,0.95,0.51
149,Avail-For-Sale Sec Appr(Depr)/T1 Cap,-3.10,0.54,1.62,5.97,2.25
150,Available-For-Sale Securities, 91.79, 92.62, 93.52, 94.02, 93.46
151,U.S. Treasury Securities, 2.93,3.33,3.55,2.65,2.49
152,U.S. Agency Securities (excl MBS), 15.52, 16.80, 16.80, 15.93, 12.49
153,Municipal Securities, 4.29,3.91,3.50,3.99,4.57
154,Mortgage-Backed Securities,60.53, 59.38, 58.54, 59.83, 62.17
155,Asset-Backed Securities,1.54,1.71,2.21,2.62,2.94
156,Other Debt Securities,4.62,5.04,5.21,4.54,5.08
157,Debt Securities Over 5 Years,62.01, 64.40, 64.88, 60.37, 62.73
158,Pledged Securities,59.46, 57.43, 53.80, 54.48, 49.52
159,"Structured Notes, Fair Value", 0.27,0.38,0.23,0.03,0.02
160,ANALYSIS RATIOS,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001
161,Provision for Ln&Ls Losses/Avg Assets,0.15,0.18,0.30,0.42,0.42
162,Provision for Ln&Ls Losses/Avg Lns&Ls,0.26,0.32,0.51,0.73,0.72
163,ALLL/Nonaccrual Assets, 349.94,282.98,271.15,250.00,229.74
164,Net Losses/Avg Loans and Leases,0.28,0.35,0.53,0.68,0.58
165,"Write-downs, Trans Lns HFS/Avg Lns&Ls",0.00,0.00,0.02,0.01, N/A
166,Recoveries/Prior Year-End Losses,30.96, 25.00, 17.72, 18.80, 24.91
167,Earnings Coverage of Net Losses (X), 22.79, 18.87, 10.06, 10.14,9.73NET LOAN AND LEASE LOSSES BY TYPE---------------------------------
168,Real Estate Loans,0.06,0.07,0.11,0.11,0.13
169,RE Loans Secured By 1-4 Family, 0.08,0.08,0.12,0.11,0.12
170,Revolving,0.07,0.08,0.11,0.10,0.11
171,Closed-End, 0.07,0.08,0.13,0.12,0.11
172,Commercial Real Estate Loans, 0.03,0.05,0.08,0.09,0.10
173,Construction and Land Dev,0.01,0.04,0.06,0.09,0.06
174,Multifamily,0.02,0.02,0.01,0.03,0.01
175,Nonfarm Nonresidential, 0.04,0.06,0.09,0.09,0.11
176,Other Loans and Leases, 0.41,0.26,0.47,0.62,0.45
177,PERCENT OF LOANS AND LEASES,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001
178,30-89 Days PD Loans and Leases, 0.69,0.64,0.79,0.93,1.11
179,90+ Days PD Loans and Leases, 0.16,0.15,0.17,0.20,0.22
180,Nonaccrual Restructured,0.00,0.01,0.01,0.00,0.00PERCENT OF LNS&LS + OTHER ASSETS30+ DAYS PAST DUE AND NONACCRUAL
181,30-89 Days Past Due Assets, 0.69,0.65,0.80,0.94,1.12
182,90+ Days Past Due Assets, 0.16,0.15,0.18,0.21,0.22
183,Nonaccrual Assets,0.43,0.52,0.69,0.87,0.88
184,30+ Days PD & Nonaccrual Assets,1.32,1.34,1.71,2.08,2.28PERCENT OF TOTAL ASSETS-----------------------
185,90+ Days PD and Nonaccrual Assets,0.37,0.40,0.52,0.65,0.67
186,90+ PD & Nonaccrual Assets + OREO,0.42,0.46,0.60,0.72,0.73RESTRUCTURED & NONACCRUAL LNS&LS+ REAL ESTATE ACQUIRED AS PERCENT OF:
187,Total Assets, 0.29,0.34,0.46,0.57,0.57
188,Allowance for Loan & Lease Losses, 42.11, 48.07, 52.66, 59.52, 61.22
189,Equity Cap + ALLL,3.33,3.83,5.07,6.33,6.64
190,Tier 1 Cap + ALLL,3.84,4.22,5.62,7.19,7.37
191,Loans & Leases + RE Acquired, 0.49,0.59,0.79,0.96,0.97
192, - 90+ Days Past Due, 0.13,0.11,0.14,0.17,0.20
193, - Nonaccrual,0.43,0.44,0.52,0.53,0.61
194, - 90+ Days Past Due, 0.07,0.07,0.10,0.11,0.11
195, - Nonaccrual,0.61,0.85,1.39,1.85,1.55
196, - 90+ Days Past Due, 0.29,0.32,0.36,0.39,0.39
197, - Nonaccrual,0.16,0.20,0.24,0.26,0.25
198,Dep Inst Lns - 30-89 Days PD, 0.00,0.02,0.05,0.05,0.04
199, - 90+ Days Past Due, 0.00,0.00,0.00,0.00,0.00
200, - Nonaccrual,0.03,0.05,0.22,0.26,0.18
201,Agricultural - 30-89 Days PD, 0.28,0.27,0.50,0.62,0.81
202, - 90+ Days Past Due, 0.01,0.03,0.05,0.05,0.04
203, - Nonaccrual,0.35,0.60,1.07,1.20,1.35
204,Foreign Govts- 30-89 Days PD, 0.35,0.03,0.32,0.26,1.00
205, - 90+ Days Past Due, 0.00,0.00,0.00,1.11,0.00
206, - Nonaccrual,0.00,0.43,0.70,0.80,0.06
207,Other Lns&Ls - 30-89 Days PD, 0.43,0.56,0.71,0.76,0.89
208, - 90+ Days Past Due, 0.02,0.04,0.04,0.08,0.07
209,- 90+ Days Past Due,0.20,0.15,0.21,0.26,0.29
210,- Nonaccrual, 0.41,0.39,0.41,0.44,0.42
211,- 90+ Days Past Due,0.05,0.04,0.06,0.07,0.10
212,- Nonaccrual, 0.14,0.13,0.13,0.11,0.13
213,- 90+ Days Past Due,0.27,0.19,0.29,0.33,0.34
214,- Nonaccrual, 0.50,0.50,0.54,0.55,0.48
215,Commercial RE - 30-89 Days PD,0.54,0.43,0.52,0.56,0.85
216,- 90+ Days Past Due,0.04,0.04,0.04,0.06,0.09
217,- Nonaccrual, 0.42,0.45,0.57,0.58,0.69
218,Const & Dev - 30-89 Days PD,0.63,0.63,0.76,0.82,1.11
219,- 90+ Days Past Due,0.05,0.03,0.04,0.06,0.08
220,- Nonaccrual, 0.24,0.27,0.39,0.54,0.59
221,Multifamily - 30-89 Days PD,0.50,0.26,0.32,0.44,0.59
222,- 90+ Days Past Due,0.03,0.01,0.02,0.02,0.03
223,- Nonaccrual, 0.29,0.27,0.31,0.21,0.38
224,Nonfarm Nres- 30-89 Days PD,0.45,0.37,0.45,0.50,0.70
225,- 90+ Days Past Due,0.03,0.03,0.04,0.06,0.09
226,- Nonaccrual, 0.53,0.55,0.70,0.63,0.69
227,- 90+ Days Past Due,0.02,0.06,0.08,0.06,0.07
228,- Nonaccrual, 0.89,1.14,1.31,1.30,1.33
229,- 90+ Days Past Due,0.82,0.83,1.06,1.31,0.86
230,- Nonaccrual, 0.08,0.05,0.12,0.09,0.18
231,CAPITAL RATIOS, 12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001
232,Tier 1 Leverage Ratio,7.44,7.57,7.55,7.43,7.34
233,Tier 1 RBC Ratio, 9.63,9.98, 10.05,9.64,9.43
234,DERIVATIVES AND, , , , , 
235,OFF-BALANCE-SHEET TRANSACTIONS, , , , , 
236,PERCENT OF TOTAL ASSETS:, , , , , 
237,Loan Commitments,30.70, 29.68, 28.38, 29.63, 29.27
238,Standby Letters of Credit,3.22,3.22,3.21,3.24,3.21
239,Credit Derivatives (BHC as Beneficiary),1.23,0.75,0.64,0.45,0.26
240,TYPE OF DERIVATIVE INSTRUMENT:, , , , , 
241,Derivative Contracts,74.31, 73.18, 82.38, 69.29, 83.60
242,Interest Rate Contracts, 55.48, 54.87, 64.76, 55.59, 61.42
243,Interest Rate Futures & Forward Contr,8.97,8.57, 10.53, 11.68, 13.74
244,Written Options Contr (Int Rate), 5.83,7.01,8.86,8.60,8.95
245,Purchased Options Contr (Int Rate), 5.32,6.07,7.46,7.41,9.55
246,Written Options Contr (Foreign Exch), 0.73,0.73,0.82,0.53,0.62
247,Purchased Options Contr (Foreign Exch), 0.78,0.78,0.86,0.59,0.55
248,Written Options Contr (Comm & Other), 0.48,0.47,0.42,0.29,0.26
249,Purchased Options Contr (Comm & Oth), 0.61,0.45,0.43,0.33,0.28
250,PERCENT OF NOTIONAL AMOUNT, 12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001
251,Interest Rate Contracts, 90.08, 92.91, 91.02, 90.14, 86.73
252,Foreign Exchange Contracts, 7.67,4.47,5.81,6.77, 10.10
253,Exchange-Traded,0.13,0.49,0.40,0.57,0.49
254,Over-The-Counter, 6.82,4.85,6.95,5.82,4.61
255,Purchased Options,6.06,5.02,5.22,6.56,6.91
256,Exchange-Traded,0.18,0.72,0.80,0.90,1.00
257,Over-The-Counter, 5.28,3.93,3.66,4.77,4.71
258,Foreign Exchange Contracts, 5.51,3.57,4.24,4.86,7.28
259,Foreign Exchange Contracts, 0.49,0.41,0.23,0.47,0.83
260,Over 1 Year to 5 Years,27.32, 30.15, 30.94, 26.58, 30.97
261,Over 5 Years,20.84, 25.19, 24.26, 12.92, 11.72
262,Gross Negative Fair Value (Abs Val),0.93,0.99,1.40,1.63,1.03
263,Gross Positive Fair Value (X),0.10,0.14,0.19,0.20,0.12
264,Held for Trading (X), 0.09,0.11,0.16,0.15,0.08
265,Non-Traded (X), 0.01,0.02,0.03,0.04,0.03
266,Current Credit Exposure (X),0.06,0.08,0.11,0.12,0.08
267,Credit Losses on Derivative Contracts,0.00,0.00,0.00,0.01,0.00PAST DUE DERIVATIVE INSTRUMENTSFAIR VALUE:
268,30-89 Days Past Due,0.00,0.00,0.00,0.00,0.00
269,90+ Days Past Due,0.00,0.00,0.00,0.00,0.00
270,OTHER RATIOS:, , , , , 
271,Decr (Incr) in Int Expense/Net Income,1.79,3.46,2.53,0.97,0.44
272,Net Incr (Decr) Nonint Alloc/Net Income,0.02,0.39,0.12,1.84,1.90
273,Incr (Decr) in Net Income/Net Income, 2.23,7.67,6.34,8.28,5.84
274,INSURANCE ACTIVITIES, 12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001
275,ANALYSIS RATIOS:, , , , , 
276,Ins Underwriting Assets/Consol Assets,0.06, N/A, N/A, N/A, N/A
277,Ins Under Assets(P/C)/Tot Ins Und Ast, 39.86, 34.12, 31.84, 31.18, N/A
278,Ins Under Assets(L/H)/Tot Ins Und Ast, 60.14, 65.88, 68.16, 68.82, N/A
279,Credit Rel Prem Inc/Tot Prem Inc,73.61, 70.68, 75.78, 61.77, N/A
280,Ins Net Inc (L/H)/Equity (L/H),12.57,6.40,8.26,7.89, N/A
281,Net Assets Broker-Dealer Subs/Cons Asts,1.23,1.15,1.39,1.28, N/A
282,FOREIGN ACTIVITIES, , , , , 
283,Yield: Foreign Loans, 2.35,2.52,2.42,1.85,2.71
284,Commercial and Industrial Loans, 10.52,1.85,6.59, 11.75, 12.94
285,Foreign Governments and Inst, 0.00,0.00,0.21,0.02,0.02
286,Total Selected Assets, 16.55, 16.78, 28.81, -0.27, 17.02
287,Deposits,18.44, 62.87, 15.80, 19.25, -7.32
288,PROFITABLITY:,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001
289,Net Income/Avg Equity Capital, 14.36, 14.67, 15.27, 15.28, 12.26
290,Bank Net Inc/Avg Eq Inv in Banks,14.15, 14.54, 14.67, 15.66, 12.27
291,Nonbk Net Inc/Avg Eq Inv in Nonbanks, 8.82,7.90,6.17,0.89,3.04
292,Sub BHCs Net Inc/Avg Eq Inv in Sub BHCs, 10.96, 11.50, 12.69, 11.85, 12.05
293,Bank Net Income/Parent Net Income, 71.56, 69.68, 74.48, 77.11, 71.98
294,Nonbank Net Income/Parent Net Income, 6.03,6.15,5.20,3.69, 11.79
295,Total Debt/Equity Capital, 15.82, 15.86, 20.89, 18.99, 20.28
296,Tot Debt+NP to Subs Iss Tr Pref/Equity,24.23, 24.66, 29.65, 28.50, N/A
297,Tot Debt+Lns Guaranteed for Affl/Equity, 20.13, 19.70, 26.65, 24.50, 25.69
298,Total Debt/Eq Cap - Exc Over Fair Value, 17.03, 17.12, 23.64, 20.72, 22.43
299,Long-Term Debt/Equity Capital, 12.46, 12.04, 15.42, 13.73, 14.08
300,Short-Term Debt/Equity Capital, 2.55,3.47,4.01,4.41,5.07
301,Current Portion of LT Debt/Equity,0.12,0.24,0.33,0.68,0.52
302,Exc Cost Over Fair Value/Equity Cap,1.46,1.52,2.48,1.95,2.59
303,Total Investment in Subs/Equity,119.78,120.84,123.78,123.49,122.37
304,"Eq Inv Sub/Eq Cap,QualTPS+Oth PS in T1",99.19, 99.22, 99.49, 99.07,100.15
305,Cash Fl Fr Op+Noncash+Op Ex/Op Ex+Div,147.86,136.25,149.30,180.56,166.06
306,Adj Cash Fl/Op Exp+Repaid LT Debt+Div, 98.70,117.83,116.50,119.39,125.90
307,Pretax Oper Inc + Int Exp/Int Expense, 3256.40, 3483.15, 3082.11, 6175.51, 2536.30
308,Div + Int From Subs/Int Exp + Div,176.23,157.60,169.47,200.00,181.04
309,Fees+Other Inc From Subs/Sal + Oth Exp,19.67, 20.43, 18.47, 21.27, 25.26
310,PAST DUE AND NONACCRUAL AS % OF LNS&LS:, , , , , 
311,90+ Days Past Due,0.00,0.00,0.00,0.00,0.00
312,Nonaccrual, 0.62,0.62,0.21,2.65,2.75
313,Total, 11.11,0.62,0.34,2.66,2.78
314,GUARANTEED LOANS AS % OF EQUITY CAP:, , , , , 
315,To Bank Subsidiaries, 0.00,0.00,0.01,0.02,0.00
316,To Nonbank Subsidiaries,1.22,0.65,1.22,0.91,0.74
317,To Subsidiary BHCs, 0.01,0.00,0.00,0.00,0.00
318,Total,1.76,1.21,1.89,1.62,1.05
319,AS A % OF CONSOLIDATED BHC ASSETS:, , , , , 
320,Nonbank Assets of Nonbank Subsidiaries, 6.96,9.38,6.96,6.52, 10.95
321,Combined Thrift Assets, 0.35,0.42,0.06,0.10,0.21
322,Combined Foreign Nonbank Sub Assets,0.14,0.15,0.18,0.17,0.28
323,PAYOUT RATIOS - PARENT, 12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001
324,Div Paid/Inc Before Undist Inc,68.84, 77.33, 64.56, 45.81, 53.12
325,Dividends Paid/Net Income, 39.46, 33.09, 32.26, 29.58, 37.89
326,Dividends From Nonbank Subs, 11.16,6.40,5.61,7.70, 12.70
327,Dividends From Subsidiary BHCs,21.35, 21.50, 19.80, 38.96, 31.41
328,Dividends From Bank Subs,59.83, 57.08, 53.80, 61.05, 72.77
329,Interest Income From Bank Subs, 2.55,1.57,1.75,2.81,8.80
330,Mgt & Service Fees From Bank Subs,3.58,4.69,3.11,3.22, 11.21
331,Other Income From Bank Subs,0.27,0.14,0.02,0.06,0.01
332,Interest Income From Nonbank Subs, 23.92, 19.71, 16.13, 21.77, 21.56
333,Mgt & Serv Fees From Nonbank Subs,2.70,3.41,3.41,4.53,1.94
334,Other Income From Nonbank Subs, 0.01,0.08,0.03,0.03,0.06
335,Operating Inc From Nonbank Subs, 91.74,103.99,102.94,133.51, 99.04
336,PERCENT OF SUB BHCs' NET INCOME:, , , , , 
337,Dividends From Subsidiary BHCs,48.96, 39.32, 52.11, 76.43, 67.26
338,Interest Inc From Subsidiary BHCs,4.48,4.05,1.27,1.39,1.90
339,Mgt & Serv Fees From Sub BHCs,3.17,1.17,1.10,0.73,1.04
340,Other Income From Subsidiary BHCs,0.00,0.00,0.00,0.00,0.03
341,Dividends From Bank Subsidiaries,55.37, 55.38, 56.83, 54.98, 49.12
342,Interest Income From Bank Subs, 2.40,2.58,2.48,3.83,3.77
343,Mgt & Serv Fees From Bank Subs, 2.62,3.07,2.78,2.80,2.86
344,Other Income From Bank Subs,0.02,0.02,0.01,0.02,0.00
345,Mgt & Serv Fees From Nonbank Subs,0.12,0.11,0.11,0.13,0.14
346,Other Income From Nonbank Subs, 0.00,0.01,0.01,0.00,0.00
347,Mgt & Serv Fees From Sub BHCs,0.06,0.00,0.04,0.00,0.00
348,Other Income From Subsidiary BHCs,0.00,0.00,0.00,0.00,0.00
349, PERCENT OF AVERAGE ASSETS:, , , , , 
350," LOAN MIX, % OF GROSS LOANS & LEASES:", , , , , 
351, PERCENT OF TOTAL ASSETS:, , , , , 
352, ANALYSIS RATIOS:, , , , , 
353, PAST DUE AND NONACCRUAL AS % OF LNS&LS:, , , , , 
354, GUARANTEED LOANS AS % OF EQUITY CAP:, , , , , 
355, AS A % OF CONSOLIDATED BHC ASSETS:, , , , , 
356, PERCENT OF SUB BHCs' NET INCOME:, , , , , 
357, , 1079740,"10,111,589", WHITNEY HOLDING CORPORATION," NEW ORLEANS, LA",Moved from Peer 2
358, 1027004,"42,762,673", ZIONS BANCORPORATION,"SALT LAKE CITY, UT", Note: Peer Group 1 has, 69 bank holding companies.
359, 12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001, 
360, 12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001, 
361, 1379552," 144,073,691", ABN AMRO NORTH AMERICA HOLDING,"CHICAGO, IL", , 
362, 1078604,"52,619,315", AMSOUTH BANCORPORATION,"BIRMINGHAM, AL", , 
