,Column1,Value1,Value2,Value3,Value4,Value5
49,Avg Earning Assets / Avg Assets, 89.81, 89.35, 89.82, 89.73, 89.42
50,Avg Int-Bearing Funds / Avg Assets,74.82, 75.57, 75.19, 75.67, 75.22
51,Int Income (TE) / Avg Earning Assets, 5.17,6.01,7.19,8.29,7.73
52,Int Expense / Avg Earning Assets, 1.58,2.11,3.43,4.50,3.80
53,Interest-Bearing Bank Balances, 2.04,2.31,4.65,7.59,6.66
54,Fed Funds Sold & Reverse Repos, 1.37,1.91,4.11,6.41,5.17
55,Trading Assets, 2.42,2.35,3.96,4.73,4.59
56,Mortgage-Backed Securities, 4.20,5.25,5.92, N/A, N/A
57,Time Deposits < $100K,2.67,3.55,5.29,5.71,5.04
58,Other Domestic Deposits,0.87,1.29,2.30,3.16,2.72
59,All Interest-Bearing Funds, 1.90,2.49,4.15,5.38,4.51
60, , 12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999
61,Avg Personnel Exp Per Employee ($000),66,62,59,58,54
62,Avg Assets per Employee ($000),"4,348"," 3,771"," 3,523"," 3,437"," 3,126"
63,ANALYSIS RATIOS, , , , , 
64,Personnel Expense,1.68,1.75,1.78,1.77,1.78
65,Net Occupancy Expense,0.45,0.48,0.48,0.49,0.50
66,Personnel Expense, 30.59, 30.38, 30.79, 29.92, 29.50
67,Net Occupancy Expense,8.17,8.25,8.60,8.36,8.20
68,Serv Charges on Deposit Accts - Domestic, 7.97,8.19,7.85,7.40,6.96
69,Trading Revenue,1.41,1.16,2.15, N/A, N/A
70,Investment Banking Fees & Commissions,4.61,4.68,5.02, N/A, N/A
71,Venture Capital Revenue,0.02, -0.22, -0.41, N/A, N/A
72,Net Servicing Fees, 0.58,0.92,1.09, N/A, N/A
73,Net Securitization Income,0.49,0.47,0.54, N/A, N/A
74,Insurance Activities Revenue, 1.17,1.15,1.02, N/A, N/A
75,"Net Gain (Loss) - Sales Loans, OREO, Oth", 2.89,1.73,1.22, N/A, N/A
76,Appl Inc Taxes/Pretax NOI (TE),31.46, 31.58, 33.17, 33.08, 33.63
77,Appl Inc Tax+TE/Pretax NOI+TE, 34.72, 34.83, 37.17, 36.38, 36.36
78,PERCENT OF TOTAL ASSETS,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999
79,Real Estate Loans, 34.79, 34.29, 32.43, 32.11, 30.62
80,Commercial and Industrial Loans, 11.27, 12.35, 12.89, 16.03, 16.23
81,Loans to Individuals, 6.16,6.42,6.22,7.24,7.85
82,Loans to Depository Institutions, 0.10,0.14,0.18,0.24,0.30
83,Agricultural Loans, 0.21,0.22,0.21,0.23,0.25
84,Other Loans and Leases, 4.28,4.25,4.92,5.33,5.15
85, Net Loans and Leases, 58.56, 59.34, 58.93, 63.19, 62.32
86,Debt Securities Over 1 Year, 19.68, 18.00, 16.22, 14.28, 15.64
87,Mutual Funds and Equity Securities, 0.36,0.40,0.49,1.08,1.09
88, Subtotal, 79.75, 78.91, 76.68, 79.39, 80.04
89,Interest-Bearing Bank Balances, 0.70,0.63,1.07,0.75,0.65
90,Federal Funds Sold & Reverse Repos, 1.88,2.31,2.86,2.39,2.40
91,Debt Securities 1 Year or Less, 1.99,1.91,1.88,1.92,1.69
92,Trading Assets, 1.64,1.69,1.86,1.83,1.72
93, Total Earning Assets, 88.17, 87.55, 86.95, 88.41, 88.45
94,Non-Int Cash and Due From Dep Inst, 2.85,3.38,3.52,3.58,3.64
95,Acceptances,0.03,0.03,0.03,0.06,0.07
96,Other Real Estate Owned,0.06,0.06,0.05,0.04,0.04
97,U.S. Treasury Securities, 0.78,0.45,0.40,0.67,1.06
98,U.S. Agency Securities (excl MBS),4.15,3.25,2.56,2.68,2.49
99,Municipal Securities, 0.75,0.78,0.84,0.88,0.92
100,Mortgage-Backed Securities,12.92, 12.07, 11.44,9.80, 10.67
101,Asset-Backed Securities,0.41,0.49,0.55, N/A, N/A
102,Other Debt Securities,0.85,0.74,0.69,3.25,3.30
103,RE Loans Secured by 1-4 Family,17.22, 17.21, 17.20, 17.07, 16.84
104,Revolving,4.16,3.58,2.80,2.69,2.19
105,"Closed-End, Sec by First Liens",11.43, 11.65, 12.20, 11.87, 12.42
106,"Closed-End, Sec by Junior Liens",1.16,1.50,1.75,2.04,1.89
107,Commercial Real Estate Loans,14.48, 14.61, 12.94, 13.07, 12.07
108,Construction and Land Dev,3.82,3.67,3.48,2.99,2.62
109,Multifamily,1.26,1.27,1.08,1.14,1.10
110,Nonfarm Nonresidential, 8.84,8.96,8.00,8.46,7.90
111,RE Loans Secured by Farmland, 0.19,0.22,0.16,0.19,0.17
112,"LOAN MIX, % OF GROSS LOANS & LEASES:", , , , , 
113,Real Estate Loans, 57.33, 55.08, 52.56, 49.02, 47.51
114,RE Loans Secured by 1-4 Family,28.40, 27.93, 28.02, 26.45, 26.33
115,Revolving,6.71,5.75,4.47,4.06,3.33
116,Closed-End,21.13, 21.66, 23.14, 22.09, 22.73
117,Commercial Real Estate Loans,23.48, 23.13, 20.47, 19.59, 18.42
118,Construction and Land Dev,6.13,5.78,5.51,4.42,3.96
119,Multifamily,2.03,1.99,1.73,1.74,1.73
120,Nonfarm Nonresidential,14.50, 14.23, 12.66, 12.71, 12.07
121,RE Loans Secured by Farmland, 0.29,0.32,0.24,0.28,0.26
122,Loans to Depository Institutions, 0.25,0.34,0.36,0.44,0.59
123,Commercial and Industrial Loans, 19.23, 21.41, 22.66, 26.43, 27.73
124,Loans to Individuals,10.35, 10.73, 10.42, 11.36, 12.47
125,Credit Card Loans,1.12,1.17,1.00,1.84,2.07
126,Agricultural Loans, 0.33,0.35,0.32,0.36,0.37
127,Loans to Foreign Govts and Inst,0.02,0.03,0.04,0.03,0.09
128,Other Loans and Leases, 8.79,8.29,9.61,9.33,9.32
129,PERCENT OF TOTAL ASSETS,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999
130,Short-Term Investments, 5.38,5.50,6.52,5.65,5.48
131,Liquid Assets, 26.54, 25.43, 25.12, 22.40, 23.16
132,Investment Securities, 22.80, 20.88, 19.21, 17.96, 18.96
133,Net Loans and Leases,58.56, 59.34, 58.93, 63.19, 62.32
134,"Net Lns, Ls & Stdby Ltrs of Credit",61.74, 62.70, 62.24, 66.67, 65.70
135,Core Deposits, 50.21, 52.60, 50.01, 49.19, 49.56
136,Noncore Funding, 33.27, 30.89, 32.17, 34.71, 35.57
137,Time Deposits of $100K or More, 7.19,7.39,7.34,8.60,7.57
138,Foreign Deposits, 3.01,2.98,2.80,3.94,4.12
139,Fed Funds Purchased and Repos,8.63,7.57,8.08,7.77,8.81
140,Net Fed Funds Purchased (Sold), 6.14,4.92,5.17,5.36,5.75
141,Int-Bearing Liab Repr in 1 Year, 15.09, 15.89, 18.85, 22.97, 22.73
142,Long-Term Debt Repr in 1 Year,2.02,1.90,2.03,1.84,1.63
143,Net ST Noncore Funding Dependence, 19.99, 18.72, 20.90, 24.74, 26.19
144,Short-Term Inv/ST Noncore Funding, 25.34, 27.11, 25.78, 21.18, 19.10
145,Liq Asts-ST Noncore Fndg/Nonliq Asts, 7.18,8.49,4.46, -2.96, -3.47
146,Net Loans and Leases/Total Deposits, 94.49, 92.92, 97.44, 99.55, 97.94
147,Net Loans and Leases/Core Deposits, 129.77,118.07,126.99,135.77,130.92
148,Held-To-Mat Sec Appr(Depr)/Eq Cap,0.13,0.82,0.46,0.12, -0.96
149,Avail-For-Sale Sec Appr(Depr)/Eq Cap, 1.39,4.73,1.71,0.39, -4.69
150,Available-For-Sale Securities, 93.52, 94.02, 93.46, 90.16, 91.59
151,U.S. Treasury Securities, 3.56,2.65,2.49,4.38,6.24
152,U.S. Agency Securities (excl MBS), 16.79, 15.93, 12.49, 14.48, 12.12
153,Municipal Securities, 3.50,3.99,4.57,5.20,5.07
154,Mortgage-Backed Securities,58.54, 59.83, 62.17, 54.93, 56.23
155,Asset-Backed Securities,2.21,2.62,2.94, N/A, N/A
156,Other Debt Securities,5.21,4.54,5.08, 18.29, 17.90
157,Debt Securities Over 5 Years,64.88, 60.37, 62.73, 59.32, 60.85
158,Pledged Securities,53.78, 54.48, 49.52, 55.45, 56.02
159,"Structured Notes, Fair Value", 0.23,0.03,0.02,0.09,0.15
160,ANALYSIS RATIOS,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999
161,Provision for Ln&Ls Losses/Avg Assets,0.30,0.42,0.42,0.32,0.28
162,Provision for Ln&Ls Losses/Avg Lns&Ls,0.51,0.73,0.72,0.51,0.44
163,ALLL/Nonaccrual Assets, 271.61,250.00,229.74,254.65,302.55
164,Net Losses/Avg Loans and Leases,0.53,0.68,0.58,0.43,0.40
165,"Write-downs, Trans Lns HFS/Avg Lns&Ls",0.01,0.01, N/A, N/A, N/A
166,Recoveries/Prior Year-End Losses,17.72, 18.80, 24.91, 26.09, 29.50
167,Earnings Coverage of Net Losses (X), 10.09, 10.14,9.73, 10.86, 11.23NET LOAN AND LEASE LOSSES BY TYPE---------------------------------
168,Real Estate Loans,0.11,0.11,0.13,0.08,0.06
169,RE Loans Secured By 1-4 Family, 0.12,0.11,0.12,0.09,0.09
170,Revolving,0.11,0.10,0.11,0.11,0.09
171,Closed-End, 0.13,0.12,0.11,0.09,0.09
172,Commercial Real Estate Loans, 0.08,0.09,0.10,0.02,0.01
173,Construction and Land Dev,0.06,0.09,0.06,0.02,0.00
174,Multifamily,0.01,0.03,0.01,0.01,0.00
175,Nonfarm Nonresidential, 0.09,0.09,0.11,0.02,0.01
176,Other Loans and Leases, 0.47,0.62,0.45,0.25,0.32
177,PERCENT OF LOANS AND LEASES,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999
178,30-89 Days PD Loans and Leases, 0.80,0.93,1.11,1.10,0.95
179,90+ Days PD Loans and Leases, 0.17,0.20,0.22,0.20,0.18
180,Nonaccrual Restructured,0.01,0.00,0.00,0.00,0.00PERCENT OF LNS&LS + OTHER ASSETS30+ DAYS PAST DUE AND NONACCRUAL
181,30-89 Days Past Due Assets, 0.81,0.94,1.12,1.11,0.96
182,90+ Days Past Due Assets, 0.18,0.21,0.22,0.20,0.18
183,Nonaccrual Assets,0.69,0.87,0.88,0.70,0.57
184,30+ Days PD & Nonaccrual Assets,1.71,2.08,2.28,2.07,1.76PERCENT OF TOTAL ASSETS-----------------------
185,90+ Days PD and Nonaccrual Assets,0.52,0.65,0.67,0.58,0.47
186,90+ PD & Nonaccrual Assets + OREO,0.60,0.72,0.73,0.63,0.52RESTRUCTURED & NONACCRUAL LNS&LS+ REAL ESTATE ACQUIRED AS PERCENT OF:
187,Total Assets, 0.46,0.57,0.57,0.49,0.39
188,Allowance for Loan & Lease Losses, 52.56, 59.52, 61.22, 52.69, 43.54
189,Equity Cap + ALLL,5.07,6.33,6.64,5.62,4.58
190,Tier 1 Cap + ALLL,5.62,7.19,7.37,6.15,5.02
191,Loans & Leases + RE Acquired, 0.79,0.96,0.97,0.78,0.64
192, - 90+ Days Past Due, 0.14,0.17,0.20,0.17,0.15
193, - Nonaccrual,0.52,0.53,0.61,0.51,0.51
194, - 90+ Days Past Due, 0.10,0.11,0.11,0.13,0.07
195, - Nonaccrual,1.39,1.85,1.55,1.29,0.86
196, - 90+ Days Past Due, 0.36,0.39,0.39,0.47,0.52
197, - Nonaccrual,0.23,0.26,0.25,0.19,0.20
198,Dep Inst Lns - 30-89 Days PD, 0.05,0.05,0.04,0.08,0.05
199, - 90+ Days Past Due, 0.00,0.00,0.00,0.00,0.01
200, - Nonaccrual,0.22,0.26,0.18,0.17,0.05
201,Agricultural - 30-89 Days PD, 0.50,0.62,0.81,0.85,0.51
202, - 90+ Days Past Due, 0.05,0.05,0.04,0.12,0.07
203, - Nonaccrual,1.07,1.20,1.35,1.25,1.09
204,Foreign Govts- 30-89 Days PD, 0.30,0.26,1.00,0.35,0.39
205, - 90+ Days Past Due, 0.00,1.11,0.00,0.00,0.00
206, - Nonaccrual,0.67,0.80,0.06,0.10,0.18
207,Other Lns&Ls - 30-89 Days PD, 0.70,0.76,0.89,0.83,0.58
208, - 90+ Days Past Due, 0.04,0.08,0.07,0.08,0.07
209,- 90+ Days Past Due,0.21,0.26,0.29,0.22,0.24
210,- Nonaccrual, 0.41,0.44,0.42,0.45,0.54
211,- 90+ Days Past Due,0.06,0.07,0.10,0.11,0.10
212,- Nonaccrual, 0.13,0.11,0.13,0.17,0.15
213,- 90+ Days Past Due,0.29,0.33,0.34,0.25,0.27
214,- Nonaccrual, 0.54,0.55,0.48,0.50,0.60
215,Commercial RE - 30-89 Days PD,0.52,0.56,0.85,0.75,0.68
216,- 90+ Days Past Due,0.04,0.06,0.09,0.07,0.06
217,- Nonaccrual, 0.57,0.58,0.69,0.53,0.57
218,Const & Dev - 30-89 Days PD,0.76,0.82,1.11,1.01,0.78
219,- 90+ Days Past Due,0.04,0.06,0.08,0.08,0.05
220,- Nonaccrual, 0.39,0.54,0.59,0.48,0.41
221,Multifamily - 30-89 Days PD,0.32,0.44,0.59,0.49,0.56
222,- 90+ Days Past Due,0.02,0.02,0.03,0.07,0.04
223,- Nonaccrual, 0.31,0.21,0.38,0.23,0.31
224,Nonfarm Nres- 30-89 Days PD,0.45,0.50,0.70,0.66,0.62
225,- 90+ Days Past Due,0.04,0.06,0.09,0.05,0.05
226,- Nonaccrual, 0.70,0.63,0.69,0.55,0.67
227,- 90+ Days Past Due,0.08,0.06,0.07,0.09,0.14
228,- Nonaccrual, 1.31,1.30,1.33,1.26,1.15
229,- 90+ Days Past Due,1.06,1.31,0.86,0.71,0.77
230,- Nonaccrual, 0.12,0.09,0.18,0.08,0.22
231,CAPITAL RATIOS, 12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999
232,Tier 1 Leverage Ratio,7.55,7.43,7.34,7.35,7.17
233,Tier 1 RBC Ratio,10.05,9.64,9.43,9.00,8.75
234,DERIVATIVES AND, , , , , 
235,OFF-BALANCE-SHEET TRANSACTIONS, , , , , 
236,PERCENT OF TOTAL ASSETS:, , , , , 
237,Loan Commitments,28.38, 29.63, 29.27, 32.30, 34.75
238,Standby Letters of Credit,3.21,3.24,3.21,3.47,3.46
239,Credit Derivatives (BHC as Beneficiary),0.64,0.45,0.26,0.26,0.23
240,TYPE OF DERIVATIVE INSTRUMENT:, , , , , 
241,Derivative Contracts,82.36, 69.29, 83.60, 56.04, 73.84
242,Interest Rate Contracts, 64.76, 55.59, 61.42, 42.70, 56.44
243,Interest Rate Futures & Forward Contr, 10.53, 11.68, 13.74,6.45,8.85
244,Written Options Contr (Int Rate), 8.86,8.60,8.95,5.77,5.77
245,Purchased Options Contr (Int Rate), 7.46,7.41,9.55,7.10,8.63
246,Written Options Contr (Foreign Exch), 0.82,0.53,0.62,0.44,1.07
247,Purchased Options Contr (Foreign Exch), 0.86,0.59,0.55,0.45,1.02
248,Written Options Contr (Comm & Other), 0.41,0.29,0.26,0.28,0.38
249,Purchased Options Contr (Comm & Oth), 0.42,0.33,0.28,0.30,0.40
250,PERCENT OF NOTIONAL AMOUNT, 12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999
251,Interest Rate Contracts, 91.04, 90.14, 86.73, 83.22, 85.62
252,Foreign Exchange Contracts, 5.81,6.77, 10.10, 11.79, 11.75
253,Exchange-Traded,0.40,0.57,0.49,0.29,0.29
254,Over-The-Counter, 6.94,5.81,4.61,4.36,4.00
255,Purchased Options,5.22,6.56,6.91, 10.06,9.05
256,Exchange-Traded,0.80,0.90,1.00,0.70,0.61
257,Over-The-Counter, 3.65,4.77,4.71,8.63,7.92
258,Foreign Exchange Contracts, 4.24,4.86,7.28,9.17,9.27
259,Foreign Exchange Contracts, 0.23,0.47,0.83,1.39,1.35
260,Over 1 Year to 5 Years,30.94, 26.58, 30.97, 28.97, 33.92
261,Over 5 Years,24.27, 12.92, 11.72, 10.06, 11.27
262,Gross Negative Fair Value (Abs Val),1.40,1.63,1.03,0.95,1.06
263,Gross Positive Fair Value (X),0.19,0.20,0.12,0.15,0.17
264,Held for Trading (X), 0.16,0.15,0.08,0.12,0.15
265,Non-Traded (X), 0.03,0.04,0.03,0.02,0.02
266,Current Credit Exposure (X),0.11,0.12,0.08,0.09,0.09
267,Credit Losses on Derivative Contracts,0.00,0.01,0.00,0.00,0.00PAST DUE DERIVATIVE INSTRUMENTSFAIR VALUE:
268,30-89 Days Past Due,0.00,0.00,0.00,0.00,0.00
269,90+ Days Past Due,0.00,0.00,0.00,0.00,0.00
270,OTHER RATIOS:, , , , , 
271,Decr (Incr) in Int Expense/Net Income,2.55,0.97,0.44,0.61,0.59
272,Net Incr (Decr) Nonint Alloc/Net Income,0.12,1.84,1.90,0.08,0.21
273,Incr (Decr) in Net Income/Net Income, 6.34,8.28,5.84,0.71,2.11
274,INSURANCE ACTIVITIES, 12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999
275,ANALYSIS RATIOS:, , , , , 
276,Ins Underwriting Assets/Consol Assets,0.06, N/A, N/A, N/A, N/A
277,Ins Under Assets(P/C)/Tot Ins Und Ast, 31.84, 31.18, N/A, N/A, N/A
278,Ins Under Assets(L/H)/Tot Ins Und Ast, 68.16, 68.82, N/A, N/A, N/A
279,Credit Rel Prem Inc/Tot Prem Inc,70.23, 61.77, N/A, N/A, N/A
280,Ins Net Inc (L/H)/Equity (L/H), 8.26,7.89, N/A, N/A, N/A
281,Net Assets Broker-Dealer Subs/Cons Asts,1.31,1.28, N/A, N/A, N/A
282,FOREIGN ACTIVITIES, , , , , 
283,Yield: Foreign Loans, 2.41,1.85,2.71,3.94,3.72
284,Commercial and Industrial Loans,6.60, 11.75, 12.94,2.40,4.62
285,Foreign Governments and Inst, 0.20,0.02,0.02, -0.08,0.02
286,Total Selected Assets, 28.95, -0.27, 17.02, 19.75,138.87
287,Deposits,15.80, 19.25, -7.32, 38.29,106.84
288,PROFITABLITY:,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999
289,Net Income/Avg Equity Capital, 15.29, 15.28, 12.26, 15.22, 16.85
290,Bank Net Inc/Avg Eq Inv in Banks,14.70, 15.66, 12.27, 14.00, 15.77
291,Nonbk Net Inc/Avg Eq Inv in Nonbanks, 6.17,0.89,3.04,8.53, 11.63
292,Sub BHCs Net Inc/Avg Eq Inv in Sub BHCs, 12.69, 11.85, 12.05, 14.00, 12.87
293,Bank Net Income/Parent Net Income, 74.23, 77.11, 71.98, 76.49, 74.38
294,Nonbank Net Income/Parent Net Income, 5.19,3.69, 11.79, 10.44, 10.95
295,Total Debt/Equity Capital, 20.98, 18.99, 20.28, 21.30, 22.87
296,Tot Debt+NP to Subs Iss Tr Pref/Equity,29.32, 28.50, N/A, N/A, N/A
297,Tot Debt+Lns Guaranteed for Affl/Equity, 26.68, 24.50, 25.69, 27.62, 29.47
298,Total Debt/Eq Cap - Exc Over Fair Value, 23.68, 20.72, 22.43, 22.30, 24.22
299,Long-Term Debt/Equity Capital, 15.86, 13.73, 14.08, 13.77, 15.36
300,Short-Term Debt/Equity Capital, 3.67,4.41,5.07,7.09,6.79
301,Current Portion of LT Debt/Equity,0.33,0.68,0.52,0.32,0.25
302,Exc Cost Over Fair Value/Equity Cap,2.48,1.95,2.59,2.38,2.04
303,Total Investment in Subs/Equity,123.78,123.49,122.37,123.15,125.32
304,Equity Inv in Subs/Cons Eq Cap+Min Int,99.47, 99.07,100.15,100.74,101.86
305,Cash Fl Fr Op+Noncash+Op Ex/Op Ex+Div,149.04,180.56,166.06,150.79,145.12
306,Adj Cash Fl/Op Exp+Repaid LT Debt+Div,116.50,119.39,125.90,110.71,105.81
307,Pretax Oper Inc + Int Exp/Int Expense, 4011.01, 6175.51, 2536.30, 1534.78, 2404.04
308,Div + Int From Subs/Int Exp + Div,163.22,200.00,181.04,163.04,152.35
309,Fees+Other Inc From Subs/Sal + Oth Exp,19.00, 21.27, 25.26, 27.59, 26.36
310,PAST DUE AND NONACCRUAL AS % OF LNS&LS:, , , , , 
311,90+ Days Past Due,0.00,0.00,0.00,0.00,0.00
312,Nonaccrual, 0.21,2.65,2.75,0.04,0.11
313,Total,0.34,2.66,2.78,0.04,0.12
314,GUARANTEED LOANS AS % OF EQUITY CAP:, , , , , 
315,To Bank Subsidiaries, 0.00,0.02,0.00,0.12,0.01
316,To Nonbank Subsidiaries,1.22,0.91,0.74,0.36,0.63
317,To Subsidiary BHCs, 0.00,0.00,0.00,0.00,0.00
318,Total,1.83,1.62,1.05,0.76,0.99
319,AS A % OF CONSOLIDATED BHC ASSETS:, , , , , 
320,Nonbank Assets of Nonbank Subsidiaries, 7.11,6.52, 10.95,7.92,6.61
321,Combined Thrift Assets, 0.06,0.10,0.21,0.20,0.29
322,Combined Foreign Nonbank Sub Assets,0.18,0.17,0.28,0.14,0.05
323,PAYOUT RATIOS - PARENT, 12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999
324,Div Paid/Inc Before Undist Inc,64.57, 45.81, 53.12, 59.66, 65.75
325,Dividends Paid/Net Income, 32.23, 29.58, 37.89, 41.18, 34.84
326,Dividends From Nonbank Subs,5.61,7.70, 12.70,7.09,9.13
327,Dividends From Subsidiary BHCs,19.80, 38.96, 31.41, 21.26, 37.65
328,Dividends From Bank Subs,53.65, 61.05, 72.77, 82.14, 63.61
329,Interest Income From Bank Subs, 1.75,2.81,8.80, 14.37,5.42
330,Mgt & Service Fees From Bank Subs,3.07,3.22, 11.21,7.00,6.05
331,Other Income From Bank Subs,0.02,0.06,0.01,0.05,0.01
332,Interest Income From Nonbank Subs, 16.13, 21.77, 21.56, 34.94, 27.38
333,Mgt & Serv Fees From Nonbank Subs,3.41,4.53,1.94,4.71,6.01
334,Other Income From Nonbank Subs, 0.03,0.03,0.06,0.04,0.03
335,Operating Inc From Nonbank Subs,102.94,133.51, 99.04,108.81, 90.06
336,PERCENT OF SUB BHCs' NET INCOME:, , , , , 
337,Dividends From Subsidiary BHCs,52.10, 76.43, 67.26, 50.08, 65.02
338,Interest Inc From Subsidiary BHCs,1.27,1.39,1.90,1.93,1.94
339,Mgt & Serv Fees From Sub BHCs,1.10,0.73,1.04,1.00,1.61
340,Other Income From Subsidiary BHCs,0.00,0.00,0.03,0.00,0.00
341,Dividends From Bank Subsidiaries,56.84, 54.98, 49.12, 54.08, 51.86
342,Interest Income From Bank Subs, 2.48,3.83,3.77,3.87,3.61
343,Mgt & Serv Fees From Bank Subs, 2.78,2.80,2.86,2.60,3.24
344,Other Income From Bank Subs,0.01,0.02,0.00,0.02,0.01
345,Mgt & Serv Fees From Nonbank Subs,0.11,0.13,0.14,0.15,0.23
346,Other Income From Nonbank Subs, 0.01,0.00,0.00,0.01,0.00
347,Mgt & Serv Fees From Sub BHCs,0.04,0.00,0.00,0.01,0.04
348,Other Income From Subsidiary BHCs,0.00,0.00,0.00,0.00,0.00
349, PERCENT OF AVERAGE ASSETS:, , , , , 
350," LOAN MIX, % OF GROSS LOANS & LEASES:", , , , , 
351, PERCENT OF TOTAL ASSETS:, , , , , 
352, ANALYSIS RATIOS:, , , , , 
353, PAST DUE AND NONACCRUAL AS % OF LNS&LS:, , , , , 
354, GUARANTEED LOANS AS % OF EQUITY CAP:, , , , , 
355, AS A % OF CONSOLIDATED BHC ASSETS:, , , , , 
356, PERCENT OF SUB BHCs' NET INCOME:, , , , , 
357, , 1141599,"10,721,872"," SOUTH FINANCIAL GROUP, THE","GREENVILLE, SC", Moved from Peer 2
358, 1027004,"28,558,238", ZIONS BANCORPORATION,"SALT LAKE CITY, UT", Note: Peer Group 1 has, 69 bank holding companies.
359, 12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999, 
360, 12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999, 
361, 1379552," 127,153,684", ABN AMRO NORTH AMERICA HOLDING,"CHICAGO, IL", , 
362, 1078604,"45,670,092", AMSOUTH BANCORPORATION,"BIRMINGHAM, AL", , 
363, 1199563,"15,268,429", ASSOCIATED BANC-CORP,"GREEN BAY, WI", , 
