,Date,Institution Name (RSSD ID),Location,Rank,Total Assets
28,6/30/2016,NORTHERN TRUST CORPORATION (1199611),"CHICAGO, IL",29,121509559
29,6/30/2016,MUFG AMERICAS HOLDINGS CORPORATION (1378434),"NEW YORK, NY",30,117205079
30,6/30/2016,KEYCORP (1068025),"CLEVELAND, OH",31,101406977
31,6/30/2016,"BBVA COMPASS BANCSHARES, INC. (1078529)","HOUSTON, TX",32,91753156
32,6/30/2016,DISCOVER FINANCIAL SERVICES (3846375),"RIVERWOODS, IL",33,87511328
33,6/30/2016,SYNCHRONY FINANCIAL (4504654),"STAMFORD, CT",34,82384173
34,6/30/2016,BANCWEST HOLDING INC. (4989420),"SAN FRANCISCO, CA",35,80624408
35,6/30/2016,HUNTINGTON BANCSHARES INCORPORATED (1068191),"COLUMBUS, OH",36,73954016
36,6/30/2016,COMERICA INCORPORATED (1199844),"DALLAS, TX",37,71440155
37,6/30/2016,CIT GROUP INC. (1036967),"LIVINGSTON, NJ",38,66783624
38,6/30/2016,ZIONS BANCORPORATION (1027004),"SALT LAKE CITY, UT",39,59642992
39,6/30/2016,DEUTSCHE BANK TRUST CORPORATION (1032473),"NEW YORK, NY",40,54629000
40,6/30/2016,E*TRADE FINANCIAL CORPORATION (3412583),"NEW YORK, NY",41,49202038
41,6/30/2016,"NEW YORK COMMUNITY BANCORP, INC. (2132932)","WESTBURY, NY",42,49035747
42,6/30/2016,SVB FINANCIAL GROUP (1031449),"SANTA CLARA, CA",43,43147945
43,6/30/2016,"PEOPLE'S UNITED FINANCIAL, INC. (3650152)","BRIDGEPORT, CT",44,40120118
44,6/30/2016,"FIRST NIAGARA FINANCIAL GROUP, INC. (2648693)","BUFFALO, NY",45,39998293
45,6/30/2016,MUTUAL OF OMAHA INSURANCE COMPANY (1583836),"OMAHA, NE",46,38009856
46,6/30/2016,"POPULAR, INC. (1129382)","SAN JUAN, PR",47,37606000
47,6/30/2016,NATIONWIDE MUTUAL INSURANCE COMPANY (3828072),"COLUMBUS, OH",48,36667697
48,6/30/2016,JOHN DEERE CAPITAL CORPORATION (3843075),"RENO, NV",49,35453189
49,6/30/2016,"EAST WEST BANCORP, INC. (2734233)","PASADENA, CA",50,32952138
50,6/30/2016,"FIRST CITIZENS BANCSHARES, INC. (1075612)","RALEIGH, NC",51,32230403
51,6/30/2016,BOK FINANCIAL CORPORATION (1883693),"TULSA, OK",52,32050291
52,6/30/2016,BARCLAYS DELAWARE HOLDINGS LLC (2938451),"WILMINGTON, DE",53,29672671
53,6/30/2016,SYNOVUS FINANCIAL CORP. (1078846),"COLUMBUS, GA",54,29459691
54,6/30/2016,ASSOCIATED BANC-CORP (1199563),"GREEN BAY, WI",55,29038699
55,6/30/2016,"CULLEN/FROST BANKERS, INC. (1102367)","SAN ANTONIO, TX",56,29014585
56,6/30/2016,"RAYMOND JAMES FINANCIAL, INC. (3815157)","SAINT PETERSBURG, FL",57,28841247
57,6/30/2016,FIRST HORIZON NATIONAL CORPORATION (1094640),"MEMPHIS, TN",58,27541899
58,6/30/2016,EVERBANK FINANCIAL CORP (3838857),"JACKSONVILLE, FL",59,27354310
59,6/30/2016,"BANKUNITED, INC. (4028712)","MIAMI LAKES, FL",60,26309192
60,6/30/2016,FIRSTMERIT CORPORATION (1070804),"AKRON, OH",61,26153691
61,6/30/2016,"UTRECHT-AMERICA HOLDINGS, INC. (2307280)","NEW YORK, NY",62,25363698
62,6/30/2016,WEBSTER FINANCIAL CORPORATION (1145476),"WATERBURY, CT",63,25131298
63,6/30/2016,"COMMERCE BANCSHARES, INC. (1049341)","KANSAS CITY, MO",64,24726507
64,6/30/2016,WINTRUST FINANCIAL CORPORATION (2260406),"ROSEMONT, IL",65,24427295
65,6/30/2016,UMPQUA HOLDINGS CORPORATION (2747644),"PORTLAND, OR",66,24132600
66,6/30/2016,HANCOCK HOLDING COMPANY (1086533),"GULFPORT, MS",67,23071656
67,6/30/2016,"SCOTTRADE FINANCIAL SERVICES, INC. (3242735)","TOWN AND COUNTRY, MO",68,22466924
68,6/30/2016,"PROSPERITY BANCSHARES, INC. (1109599)","HOUSTON, TX",69,21880979
69,6/30/2016,VALLEY NATIONAL BANCORP (1048773),"WAYNE, NJ",70,21809738
70,6/30/2016,"INVESTORS BANCORP, INC. (2477754)","SHORT HILLS, NJ",71,21733831
71,6/30/2016,F.N.B. CORPORATION (3005332),"PITTSBURGH, PA",72,21214967
72,6/30/2016,PACWEST BANCORP (2875332),"BEVERLY HILLS, CA",73,21147143
73,6/30/2016,TCF FINANCIAL CORPORATION (2389941),"WAYZATA, MN",74,21081736
74,6/30/2016,"TEXAS CAPITAL BANCSHARES, INC. (2706735)","DALLAS, TX",75,21081024
75,6/30/2016,"MACY'S, INC. (4103310)","CINCINNATI, OH",76,20197613
76,6/30/2016,IBERIABANK CORPORATION (2291914),"LAFAYETTE, LA",77,20160855
77,6/30/2016,UMB FINANCIAL CORPORATION (1049828),"KANSAS CITY, MO",78,19734076
78,6/30/2016,"FIRST HAWAIIAN, INC. (1025608)","HONOLULU, HI",79,19052593
79,6/30/2016,"FIRST NATIONAL OF NEBRASKA, INC. (1020902)","OMAHA, NE",80,18783090
80,6/30/2016,FULTON FINANCIAL CORPORATION (1117129),"LANCASTER, PA",81,18433910
81,6/30/2016,"PRIVATEBANCORP, INC. (1839319)","CHICAGO, IL",82,18169191
82,6/30/2016,WESTERN ALLIANCE BANCORPORATION (2349815),"PHOENIX, AZ",83,16728767
83,6/30/2016,"ARVEST BANK GROUP, INC. (1095674)","BENTONVILLE, AR",84,16634738
84,6/30/2016,FIRSTBANK HOLDING COMPANY (1060627),"LAKEWOOD, CO",85,16235257
85,6/30/2016,"MB FINANCIAL, INC. (1090987)","CHICAGO, IL",86,15995790
86,6/30/2016,BANK OF HAWAII CORPORATION (1025309),"HONOLULU, HI",87,15916031
87,6/30/2016,STIFEL FINANCIAL CORP. (3063622),"SAINT LOUIS, MO",88,15248777
88,6/30/2016,MODERN WOODMEN OF AMERICA (3057395),"ROCK ISLAND, IL",89,15097370
89,6/30/2016,ASTORIA FINANCIAL CORPORATION (2504128),"LAKE SUCCESS, NY",90,15017071
90,6/30/2016,"WASHINGTON FEDERAL, INC. (3065617)","SEATTLE, WA",91,14821600
91,6/30/2016,OLD NATIONAL BANCORP (1098303),"EVANSVILLE, IN",92,14420599
92,6/30/2016,"UNITED BANKSHARES, INC. (1076217)","CHARLESTON, WV",93,14338012
93,6/30/2016,"BANCORPSOUTH, INC. (1097614)","TUPELO, MS",94,14130157
94,6/30/2016,"FLAGSTAR BANCORP, INC. (3852022)","TROY, MI",95,13723711
95,6/30/2016,CATHAY GENERAL BANCORP (1843080),"LOS ANGELES, CA",96,13493177
96,6/30/2016,STERLING BANCORP (3083291),"MONTEBELLO, NY",97,13089172
97,6/30/2016,"HILLTOP HOLDINGS, INC (3838727)","DALLAS, TX",98,13077902
98,6/30/2016,TRUSTMARK CORPORATION (1079562),"JACKSON, MS",99,13030349
99,6/30/2016,"APPLE FINANCIAL HOLDINGS, INC. (3446412)","NEW YORK, NY",100,12884030
100,6/30/2016,"THIRD FEDERAL SAVINGS AND LOAN OF CLEVELAND, MHC (3828036)","CLEVELAND, OH",101,12624307
101,6/30/2016,FIRST BANCORP (2744894),"SAN JUAN, PR",102,12508702
102,6/30/2016,MIDLAND FINANCIAL CO. (2568278),"OKLAHOMA CITY, OK",103,12301042
103,6/30/2016,"CENTRAL BANCOMPANY, INC (1094314)","JEFFERSON CITY, MO",104,12292830
104,6/30/2016,BANK OF THE OZARKS INC (1097089),"LITTLE ROCK, AR",105,12279579
105,6/30/2016,"HAWAIIAN ELECTRIC INDUSTRIES, INC. (3842957)","HONOLULU, HI",106,11979239
106,6/30/2016,INTERNATIONAL BANCSHARES CORPORATION (1104231),"LAREDO, TX",107,11776640
107,6/30/2016,"GREAT WESTERN BANCORP, INC. (4809920)","SIOUX FALLS, SD",108,11453222
108,6/30/2016,BREMER FINANCIAL CORPORATION (1020180),"SAINT PAUL, MN",109,11340612
109,6/30/2016,"FIRST MIDWEST BANCORP, INC. (1208184)","ITASCA, IL",110,10995810
110,6/30/2016,COUNTRY LIFE INSURANCE COMPANY (3825204),"BLOOMINGTON, IL",111,10264654
111,6/30/2016,"BANC OF CALIFORNIA, INC. (3153130)","IRVINE, CA",112,10157662
112,6/30/2016,EASTERN BANK CORPORATION (1427239),"BOSTON, MA",113,10025463
113,3/31/2016,JPMORGAN CHASE & CO. (1039502),"NEW YORK, NY",1,2423808000
114,3/31/2016,BANK OF AMERICA CORPORATION (1073757),"CHARLOTTE, NC",2,2188633000
115,3/31/2016,WELLS FARGO & COMPANY (1120754),"SAN FRANCISCO, CA",3,1849182000
116,3/31/2016,CITIGROUP INC. (1951350),"NEW YORK, NY",4,1800967000
117,3/31/2016,"GOLDMAN SACHS GROUP, INC., THE (2380443)","NEW YORK, NY",5,878102000
118,3/31/2016,MORGAN STANLEY (2162966),"NEW YORK, NY",6,807497000
119,3/31/2016,U.S. BANCORP (1119794),"MINNEAPOLIS, MN",7,428638000
120,3/31/2016,"BANK OF NEW YORK MELLON CORPORATION, THE (3587146)","NEW YORK, NY",8,372870000
121,3/31/2016,"PNC FINANCIAL SERVICES GROUP, INC., THE (1069778)","PITTSBURGH, PA",9,361187040
122,3/31/2016,CAPITAL ONE FINANCIAL CORPORATION (2277860),"MCLEAN, VA",10,330489235
123,3/31/2016,HSBC NORTH AMERICA HOLDINGS INC. (3232316),"NEW YORK, NY",11,289057276
124,3/31/2016,"GE CAPITAL GLOBAL HOLDINGS, LLC (4932239)","NORWALK, CT",12,287622464
125,3/31/2016,TD GROUP US HOLDINGS LLC (3606542),"WILMINGTON, DE",13,274386676
126,3/31/2016,TEACHERS INSURANCE & ANNUITY ASSOCIATION OF AMERICA (1607170),"NEW YORK, NY",14,272101594
127,3/31/2016,STATE STREET CORPORATION (1111435),"BOSTON, MA",15,243685368
128,3/31/2016,BB&T CORPORATION (1074156),"WINSTON SALEM, NC",16,212405266
129,3/31/2016,"SUNTRUST BANKS, INC. (1131787)","ATLANTA, GA",17,194253274
130,3/31/2016,"CHARLES SCHWAB CORPORATION, THE (1026632)","SAN FRANCISCO, CA",18,190998000
131,3/31/2016,AMERICAN EXPRESS COMPANY (1275216),"NEW YORK, NY",19,158804000
132,3/31/2016,ALLY FINANCIAL INC. (1562859),"DETROIT, MI",20,156505000
133,3/31/2016,FIFTH THIRD BANCORP (1070345),"CINCINNATI, OH",21,142430207
134,3/31/2016,UNITED SERVICES AUTOMOBILE ASSOCIATION (1447376),"SAN ANTONIO, TX",22,142123097
135,3/31/2016,STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY (3840207),"BLOOMINGTON, IL",23,141283619
136,3/31/2016,"CITIZENS FINANCIAL GROUP, INC. (1132449)","PROVIDENCE, RI",24,140409385
137,3/31/2016,RBC USA HOLDCO CORPORATION (3226762),"NEW YORK, NY",25,139892217
138,3/31/2016,"SANTANDER HOLDINGS USA, INC. (3981856)","BOSTON, MA",26,131098910
139,3/31/2016,BMO FINANCIAL CORP. (1245415),"WILMINGTON, DE",27,125793219
140,3/31/2016,REGIONS FINANCIAL CORPORATION (3242838),"BIRMINGHAM, AL",28,125747379
141,3/31/2016,M&T BANK CORPORATION (1037003),"BUFFALO, NY",29,124625632
142,3/31/2016,MUFG AMERICAS HOLDINGS CORPORATION (1378434),"NEW YORK, NY",30,120914763
143,3/31/2016,NORTHERN TRUST CORPORATION (1199611),"CHICAGO, IL",31,117798813
144,3/31/2016,KEYCORP (1068025),"CLEVELAND, OH",32,98570702
145,3/31/2016,BANCWEST CORPORATION (1025608),"HONOLULU, HI",33,96194245
146,3/31/2016,"BBVA COMPASS BANCSHARES, INC. (1078529)","HOUSTON, TX",34,92152260
147,3/31/2016,DISCOVER FINANCIAL SERVICES (3846375),"RIVERWOODS, IL",35,88093339
148,3/31/2016,SYNCHRONY FINANCIAL (4504654),"STAMFORD, CT",36,81655558
149,3/31/2016,HUNTINGTON BANCSHARES INCORPORATED (1068191),"COLUMBUS, OH",37,72644967
150,3/31/2016,COMERICA INCORPORATED (1199844),"DALLAS, TX",38,69131436
151,3/31/2016,CIT GROUP INC. (1036967),"LIVINGSTON, NJ",39,67188228
152,3/31/2016,ZIONS BANCORPORATION (1027004),"SALT LAKE CITY, UT",40,59179913
153,3/31/2016,DEUTSCHE BANK TRUST CORPORATION (1032473),"NEW YORK, NY",41,53106000
154,3/31/2016,"NEW YORK COMMUNITY BANCORP, INC. (2132932)","WESTBURY, NY",42,48515572
155,3/31/2016,E*TRADE FINANCIAL CORPORATION (3412583),"NEW YORK, NY",43,47943401
156,3/31/2016,SVB FINANCIAL GROUP (1031449),"SANTA CLARA, CA",44,43597787
157,3/31/2016,"FIRST NIAGARA FINANCIAL GROUP, INC. (2648693)","BUFFALO, NY",45,40078307
158,3/31/2016,"PEOPLE'S UNITED FINANCIAL, INC. (3650152)","BRIDGEPORT, CT",46,39243916
159,3/31/2016,MUTUAL OF OMAHA INSURANCE COMPANY (1583836),"OMAHA, NE",47,37383572
160,3/31/2016,"POPULAR, INC. (1129382)","SAN JUAN, PR",48,36147000
161,3/31/2016,NATIONWIDE MUTUAL INSURANCE COMPANY (3828072),"COLUMBUS, OH",49,35947340
162,3/31/2016,JOHN DEERE CAPITAL CORPORATION (3843075),"RENO, NV",50,34750522
163,3/31/2016,"EAST WEST BANCORP, INC. (2734233)","PASADENA, CA",51,33109185
164,3/31/2016,"FIRST CITIZENS BANCSHARES, INC. (1075612)","RALEIGH, NC",52,32195657
165,3/31/2016,BOK FINANCIAL CORPORATION (1883693),"TULSA, OK",53,31450894
166,3/31/2016,BARCLAYS DELAWARE HOLDINGS LLC (2938451),"WILMINGTON, DE",54,29374606
167,3/31/2016,SYNOVUS FINANCIAL CORP. (1078846),"COLUMBUS, GA",55,29171257
168,3/31/2016,"CULLEN/FROST BANKERS, INC. (1102367)","SAN ANTONIO, TX",56,28477488
169,3/31/2016,ASSOCIATED BANC-CORP (1199563),"GREEN BAY, WI",57,28178867
170,3/31/2016,"RAYMOND JAMES FINANCIAL, INC. (3815157)","SAINT PETERSBURG, FL",58,27751661
171,3/31/2016,FIRST HORIZON NATIONAL CORPORATION (1094640),"MEMPHIS, TN",59,26965746
172,3/31/2016,EVERBANK FINANCIAL CORP (3838857),"JACKSONVILLE, FL",60,26641399
173,3/31/2016,FIRSTMERIT CORPORATION (1070804),"AKRON, OH",61,26083503
174,3/31/2016,"UTRECHT-AMERICA HOLDINGS, INC. (2307280)","NEW YORK, NY",62,25082990
175,3/31/2016,WEBSTER FINANCIAL CORPORATION (1145476),"WATERBURY, CT",63,24937488
176,3/31/2016,"BANKUNITED, INC. (4028712)","MIAMI LAKES, FL",64,24819488
177,3/31/2016,"COMMERCE BANCSHARES, INC. (1049341)","KANSAS CITY, MO",65,24519161
178,3/31/2016,UMPQUA HOLDINGS CORPORATION (2747644),"PORTLAND, OR",66,23935765
179,3/31/2016,WINTRUST FINANCIAL CORPORATION (2260406),"ROSEMONT, IL",67,23492196
180,3/31/2016,"SCOTTRADE FINANCIAL SERVICES, INC. (3242735)","TOWN AND COUNTRY, MO",68,22857531
181,3/31/2016,HANCOCK HOLDING COMPANY (1086533),"GULFPORT, MS",69,22817169
182,3/31/2016,"PROSPERITY BANCSHARES, INC. (1109599)","HOUSTON, TX",70,22067070
183,3/31/2016,VALLEY NATIONAL BANCORP (1048773),"WAYNE, NJ",71,21727523
184,3/31/2016,TCF FINANCIAL CORPORATION (2389941),"WAYZATA, MN",72,21333329
185,3/31/2016,"INVESTORS BANCORP, INC. (2477754)","SHORT HILLS, NJ",73,21200387
186,3/31/2016,PACWEST BANCORP (2875332),"BEVERLY HILLS, CA",74,21031465
187,3/31/2016,"MACY'S, INC. (4103310)","CINCINNATI, OH",75,20575872
188,3/31/2016,F.N.B. CORPORATION (3005332),"PITTSBURGH, PA",76,20324524
189,3/31/2016,"TEXAS CAPITAL BANCSHARES, INC. (2706735)","DALLAS, TX",77,20210931
190,3/31/2016,IBERIABANK CORPORATION (2291914),"LAFAYETTE, LA",78,20092563
191,3/31/2016,UMB FINANCIAL CORPORATION (1049828),"KANSAS CITY, MO",79,19302913
192,3/31/2016,"FIRST NATIONAL OF NEBRASKA, INC. (1020902)","OMAHA, NE",80,18509333
193,3/31/2016,FULTON FINANCIAL CORPORATION (1117129),"LANCASTER, PA",81,18081922
194,3/31/2016,"PRIVATEBANCORP, INC. (1839319)","CHICAGO, IL",82,17667372
195,3/31/2016,"ARVEST BANK GROUP, INC. (1095674)","BENTONVILLE, AR",83,16434884
196,3/31/2016,FIRSTBANK HOLDING COMPANY (1060627),"LAKEWOOD, CO",84,16074822
197,3/31/2016,BANK OF HAWAII CORPORATION (1025309),"HONOLULU, HI",85,15705449
198,3/31/2016,"MB FINANCIAL, INC. (1090987)","CHICAGO, IL",86,15575653
199,3/31/2016,WESTERN ALLIANCE BANCORPORATION (2349815),"PHOENIX, AZ",87,15248039
200,3/31/2016,ASTORIA FINANCIAL CORPORATION (2504128),"LAKE SUCCESS, NY",88,15023537
201,3/31/2016,MODERN WOODMEN OF AMERICA (3057395),"ROCK ISLAND, IL",89,14850115
202,3/31/2016,"WASHINGTON FEDERAL, INC. (3065617)","SEATTLE, WA",90,14670823
203,3/31/2016,STIFEL FINANCIAL CORP. (3063622),"SAINT LOUIS, MO",91,14213728
204,3/31/2016,"BANCORPSOUTH, INC. (1097614)","TUPELO, MS",92,13925516
205,3/31/2016,"FLAGSTAR BANCORP, INC. (3852022)","TROY, MI",93,13736630
206,3/31/2016,CATHAY GENERAL BANCORP (1843080),"LOS ANGELES, CA",94,13262019
207,3/31/2016,STERLING BANCORP (3083291),"MONTEBELLO, NY",95,12874990
208,3/31/2016,"APPLE FINANCIAL HOLDINGS, INC. (3446412)","NEW YORK, NY",96,12859663
209,3/31/2016,TRUSTMARK CORPORATION (1079562),"JACKSON, MS",97,12775196
210,3/31/2016,FIRST BANCORP (2744894),"SAN JUAN, PR",98,12714370
211,3/31/2016,"UNITED BANKSHARES, INC. (1076217)","CHARLESTON, WV",99,12606884
212,3/31/2016,"THIRD FEDERAL SAVINGS AND LOAN OF CLEVELAND, MHC (3828036)","CLEVELAND, OH",100,12466521
213,3/31/2016,"CENTRAL BANCOMPANY, INC (1094314)","JEFFERSON CITY, MO",101,12106043
214,3/31/2016,MIDLAND FINANCIAL CO. (2568278),"OKLAHOMA CITY, OK",102,11988136
215,3/31/2016,OLD NATIONAL BANCORP (1098303),"EVANSVILLE, IN",103,11932374
216,3/31/2016,INTERNATIONAL BANCSHARES CORPORATION (1104231),"LAREDO, TX",104,11878689
217,3/31/2016,"HAWAIIAN ELECTRIC INDUSTRIES, INC. (3842957)","HONOLULU, HI",105,11870506
218,3/31/2016,"HILLTOP HOLDINGS, INC (3838727)","DALLAS, TX",106,11731928
219,3/31/2016,BANK OF THE OZARKS INC (1097089),"LITTLE ROCK, AR",107,11427419
220,3/31/2016,BREMER FINANCIAL CORPORATION (1020180),"SAINT PAUL, MN",108,10929047
221,3/31/2016,"FIRST MIDWEST BANCORP, INC. (1208184)","ITASCA, IL",109,10728922
222,3/31/2016,COUNTRY LIFE INSURANCE COMPANY (3825204),"BLOOMINGTON, IL",110,10182556
223,12/31/2015,JPMORGAN CHASE & CO. (1039502),"NEW YORK, NY",1,2351698000
224,12/31/2015,BANK OF AMERICA CORPORATION (1073757),"CHARLOTTE, NC",2,2147391000
225,12/31/2015,WELLS FARGO & COMPANY (1120754),"SAN FRANCISCO, CA",3,1787632000
226,12/31/2015,CITIGROUP INC. (1951350),"NEW YORK, NY",4,1731210000
227,12/31/2015,"GOLDMAN SACHS GROUP, INC., THE (2380443)","NEW YORK, NY",5,861419000
228,12/31/2015,MORGAN STANLEY (2162966),"NEW YORK, NY",6,787465000
229,12/31/2015,U.S. BANCORP (1119794),"MINNEAPOLIS, MN",7,421853000
230,12/31/2015,"BANK OF NEW YORK MELLON CORPORATION, THE (3587146)","NEW YORK, NY",8,393780000
231,12/31/2015,"PNC FINANCIAL SERVICES GROUP, INC., THE (1069778)","PITTSBURGH, PA",9,358690085
232,12/31/2015,CAPITAL ONE FINANCIAL CORPORATION (2277860),"MCLEAN, VA",10,334179916
233,12/31/2015,"GE CAPITAL GLOBAL HOLDINGS, LLC (4932239)","NORWALK, CT",11,318826145
234,12/31/2015,HSBC NORTH AMERICA HOLDINGS INC. (3232316),"NEW YORK, NY",12,271888608
235,12/31/2015,TEACHERS INSURANCE & ANNUITY ASSOCIATION OF AMERICA (1607170),"NEW YORK, NY",13,270094423
236,12/31/2015,TD GROUP US HOLDINGS LLC (3606542),"WILMINGTON, DE",14,267143521
237,12/31/2015,STATE STREET CORPORATION (1111435),"BOSTON, MA",15,245198879
238,12/31/2015,BB&T CORPORATION (1074156),"WINSTON SALEM, NC",16,209947022
239,12/31/2015,"SUNTRUST BANKS, INC. (1131787)","ATLANTA, GA",17,190989105
240,12/31/2015,"CHARLES SCHWAB CORPORATION, THE (1026632)","SAN FRANCISCO, CA",18,183718000
241,12/31/2015,AMERICAN EXPRESS COMPANY (1275216),"NEW YORK, NY",19,161172000
242,12/31/2015,ALLY FINANCIAL INC. (1562859),"DETROIT, MI",20,158581000
243,12/31/2015,FIFTH THIRD BANCORP (1070345),"CINCINNATI, OH",21,141082059
244,12/31/2015,"CITIZENS FINANCIAL GROUP, INC. (1132449)","PROVIDENCE, RI",22,138574068
245,12/31/2015,STATE FARM MUTUAL AUTOMOBILE INSURANCE COMPANY (3840207),"BLOOMINGTON, IL",23,138494733
246,12/31/2015,UNITED SERVICES AUTOMOBILE ASSOCIATION (1447376),"SAN ANTONIO, TX",24,137186701
247,12/31/2015,RBC USA HOLDCO CORPORATION (3226762),"NEW YORK, NY",25,133133492
248,12/31/2015,"SANTANDER HOLDINGS USA, INC. (3981856)","BOSTON, MA",26,127633001
249,12/31/2015,REGIONS FINANCIAL CORPORATION (3242838),"BIRMINGHAM, AL",27,126234344
250,12/31/2015,BMO FINANCIAL CORP. (1245415),"WILMINGTON, DE",28,125656772
251,12/31/2015,M&T BANK CORPORATION (1037003),"BUFFALO, NY",29,122787884
252,12/31/2015,NORTHERN TRUST CORPORATION (1199611),"CHICAGO, IL",30,116749572
253,12/31/2015,MUFG AMERICAS HOLDINGS CORPORATION (1378434),"NEW YORK, NY",31,116210191
254,12/31/2015,KEYCORP (1068025),"CLEVELAND, OH",32,95270648
255,12/31/2015,BANCWEST CORPORATION (1025608),"HONOLULU, HI",33,95099966
256,12/31/2015,"BBVA COMPASS BANCSHARES, INC. (1078529)","HOUSTON, TX",34,89967342
257,12/31/2015,DISCOVER FINANCIAL SERVICES (3846375),"RIVERWOODS, IL",35,86936159
258,12/31/2015,SYNCHRONY FINANCIAL (4504654),"STAMFORD, CT",36,84135487
259,12/31/2015,COMERICA INCORPORATED (1199844),"DALLAS, TX",37,71983051
260,12/31/2015,HUNTINGTON BANCSHARES INCORPORATED (1068191),"COLUMBUS, OH",38,71044551
261,12/31/2015,CIT GROUP INC. (1036967),"LIVINGSTON, NJ",39,67498790
262,12/31/2015,ZIONS BANCORPORATION (1027004),"SALT LAKE CITY, UT",40,59669525
263,12/31/2015,DEUTSCHE BANK TRUST CORPORATION (1032473),"NEW YORK, NY",41,53554000
264,12/31/2015,"NEW YORK COMMUNITY BANCORP, INC. (2132932)","WESTBURY, NY",42,50317796
265,12/31/2015,E*TRADE FINANCIAL CORPORATION (3412583),"NEW YORK, NY",43,45426559
266,12/31/2015,SVB FINANCIAL GROUP (1031449),"SANTA CLARA, CA",44,44698667
267,12/31/2015,"FIRST NIAGARA FINANCIAL GROUP, INC. (2648693)","BUFFALO, NY",45,39925857
268,12/31/2015,"PEOPLE'S UNITED FINANCIAL, INC. (3650152)","BRIDGEPORT, CT",46,38873893
269,12/31/2015,NATIONWIDE MUTUAL INSURANCE COMPANY (3828072),"COLUMBUS, OH",47,35923712
270,12/31/2015,"POPULAR, INC. (1129382)","SAN JUAN, PR",48,35769000
271,12/31/2015,MUTUAL OF OMAHA INSURANCE COMPANY (1583836),"OMAHA, NE",49,35629398
272,12/31/2015,JOHN DEERE CAPITAL CORPORATION (3843075),"RENO, NV",50,33532782
273,12/31/2015,"EAST WEST BANCORP, INC. (2734233)","PASADENA, CA",51,32351172
274,12/31/2015,BOK FINANCIAL CORPORATION (1883693),"TULSA, OK",52,31495590
275,12/31/2015,"FIRST CITIZENS BANCSHARES, INC. (1075612)","RALEIGH, NC",53,31475934
276,12/31/2015,SYNOVUS FINANCIAL CORP. (1078846),"COLUMBUS, GA",54,28792653
277,12/31/2015,"CULLEN/FROST BANKERS, INC. (1102367)","SAN ANTONIO, TX",55,28603199
278,12/31/2015,BARCLAYS DELAWARE HOLDINGS LLC (2938451),"WILMINGTON, DE",56,27998160
